"filename", "language", "C++", "YAML", "Markdown", "Groovy", "Properties", "JSON", "HTML", "XML", "Swift", "Dart", "comment", "blank", "total"
"/Users/szabotamas/tiszapp_flutter/windows/flutter/generated_plugin_registrant.h", "C++", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"/Users/szabotamas/tiszapp_flutter/windows/runner/flutter_window.cpp", "C++", -45, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -13, -62
"/Users/szabotamas/tiszapp_flutter/windows/runner/flutter_window.h", "C++", -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -9, -34
"/Users/szabotamas/tiszapp_flutter/windows/runner/main.cpp", "C++", -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -10, -44
"/Users/szabotamas/tiszapp_flutter/windows/runner/resource.h", "C++", -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -2, -17
"/Users/szabotamas/tiszapp_flutter/windows/runner/utils.cpp", "C++", -53, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -10, -65
"/Users/szabotamas/tiszapp_flutter/windows/runner/utils.h", "C++", -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -6, -20
"/Users/szabotamas/tiszapp_flutter/windows/runner/win32_window.cpp", "C++", -183, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -48, -246
"/Users/szabotamas/tiszapp_flutter/windows/runner/win32_window.h", "C++", -48, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, -22, -99
"Total", "-", -499, -32, -13, -91, -8, -338, -37, -466, -44, -14, -273, -264, -2079
